,RunId,iteration,Step,density,width,height,Umidade,TipoVegetacao,Fine,On Fire,PartiallyBurned,Burned Out,Saved index
69,69,2,29,200,100,100,0.6000000000000001,0.2,0,2,56,9942,0.005601120224044809
70,70,2,2,200,100,100,0.8,0.8,9742,1,182,75,0.708171206225681
71,71,2,21,200,100,100,0.8,0.0,0,1,0,9999,0.0
72,72,2,46,200,100,100,0.6000000000000001,0.8,6866,2,975,2157,0.3113026819923372
73,73,2,48,200,100,100,0.6000000000000001,0.4,25,2,523,9450,0.05244159229920786
74,74,3,20,200,100,100,0.0,0.0,0,15,0,9985,0.0
75,75,3,20,200,100,100,0.0,0.2,0,4,0,9996,0.0
76,76,3,20,200,100,100,0.0,0.4,0,5,0,9995,0.0
77,77,3,22,200,100,100,0.0,0.6000000000000001,0,1,0,9999,0.0
78,78,2,37,200,100,100,0.8,0.2,11,4,304,9681,0.030445668502754132
79,79,3,21,200,100,100,0.0,0.8,4,14,0,9982,0.0
80,80,3,20,200,100,100,0.2,0.2,0,7,0,9993,0.0
81,81,3,20,200,100,100,0.2,0.4,11,24,0,9965,0.0
82,82,3,21,200,100,100,0.2,0.0,2,9,0,9989,0.0
83,83,3,20,200,100,100,0.2,0.6000000000000001,0,11,0,9989,0.0
84,84,3,21,200,100,100,0.2,0.8,0,2,0,9998,0.0
85,85,3,22,200,100,100,0.4,0.0,0,1,0,9999,0.0
86,86,3,22,200,100,100,0.4,0.2,2,36,2,9960,0.0002007628990162618
87,87,3,24,200,100,100,0.4,0.4,0,1,8,9991,0.0008000800080008001
88,88,3,20,200,100,100,0.6000000000000001,0.0,3,23,0,9974,0.0
89,89,3,16,200,100,100,0.6000000000000001,0.6000000000000001,8724,2,392,882,0.3076923076923077
90,90,3,16,200,100,100,0.6000000000000001,0.8,9023,7,370,600,0.38144329896907214
91,91,3,24,200,100,100,0.4,0.8,0,4,10,9986,0.0010004001600640256
92,92,3,25,200,100,100,0.4,0.6000000000000001,0,7,19,9974,0.0019013309316521566
93,93,3,2,200,100,100,0.8,0.6000000000000001,9749,3,168,80,0.6774193548387096
94,94,3,3,200,100,100,0.8,0.4,9675,4,198,123,0.616822429906542
95,95,3,1,200,100,100,0.8,0.8,9747,9,169,75,0.6926229508196722
96,96,3,26,200,100,100,0.6000000000000001,0.2,0,11,62,9927,0.006206827510261287
97,97,3,21,200,100,100,0.8,0.0,0,3,0,9997,0.0
98,98,4,19,200,100,100,0.0,0.0,0,8,0,9992,0.0
99,99,3,48,200,100,100,0.6000000000000001,0.4,52,5,477,9466,0.04797344865734688
100,100,4,20,200,100,100,0.0,0.2,0,1,0,9999,0.0
101,101,4,20,200,100,100,0.0,0.6000000000000001,5,54,0,9941,0.0
102,102,4,21,200,100,100,0.0,0.4,0,1,0,9999,0.0
103,103,4,21,200,100,100,0.0,0.8,0,15,0,9985,0.0
104,104,4,21,200,100,100,0.2,0.0,0,4,0,9996,0.0
105,105,3,39,200,100,100,0.8,0.2,7,1,337,9655,0.03372698158526821
106,106,4,20,200,100,100,0.2,0.6000000000000001,0,1,0,9999,0.0
107,107,4,20,200,100,100,0.2,0.2,0,6,0,9994,0.0
108,108,4,22,200,100,100,0.2,0.4,0,8,0,9992,0.0
109,109,4,21,200,100,100,0.2,0.8,0,17,0,9983,0.0
110,110,4,21,200,100,100,0.4,0.0,0,3,0,9997,0.0
111,111,4,22,200,100,100,0.4,0.2,0,17,1,9982,0.00010017028949213663
112,112,4,23,200,100,100,0.4,0.4,0,2,3,9995,0.0003000600120024005
113,113,4,25,200,100,100,0.4,0.6000000000000001,0,4,14,9982,0.0014005602240896359
114,114,4,20,200,100,100,0.6000000000000001,0.0,15,38,0,9947,0.0
115,115,4,25,200,100,100,0.4,0.8,0,1,10,9989,0.001000100010001
116,116,4,1,200,100,100,0.8,0.6000000000000001,9776,12,147,65,0.6933962264150944
117,117,4,28,200,100,100,0.6000000000000001,0.2,2,4,99,9895,0.009905943566139684
118,118,4,9,200,100,100,0.8,0.4,9403,2,274,321,0.46050420168067224
119,119,4,33,200,100,100,0.6000000000000001,0.6000000000000001,7305,2,703,1990,0.2610471593018938
120,120,4,31,200,100,100,0.6000000000000001,0.8,8092,3,481,1424,0.25249343832021
121,121,4,2,200,100,100,0.8,0.8,9732,7,173,88,0.6628352490421456
122,122,4,20,200,100,100,0.8,0.0,0,21,0,9979,0.0
123,123,4,45,200,100,100,0.6000000000000001,0.4,56,8,476,9460,0.04790660225442834
124,124,4,39,200,100,100,0.8,0.2,0,1,351,9648,0.0351035103510351
125,125,5,21,200,100,100,0.0,0.0,0,3,0,9997,0.0
126,126,5,20,200,100,100,0.0,0.6000000000000001,0,10,0,9990,0.0
127,127,5,21,200,100,100,0.0,0.4,0,6,0,9994,0.0
128,128,5,21,200,100,100,0.0,0.2,0,3,0,9997,0.0
129,129,5,20,200,100,100,0.0,0.8,0,2,0,9998,0.0
130,130,5,21,200,100,100,0.2,0.0,0,3,0,9997,0.0
131,131,5,21,200,100,100,0.2,0.2,0,2,0,9998,0.0
132,132,5,20,200,100,100,0.2,0.6000000000000001,0,12,0,9988,0.0
133,133,5,20,200,100,100,0.2,0.8,0,2,0,9998,0.0
134,134,5,21,200,100,100,0.2,0.4,0,16,0,9984,0.0
135,135,5,21,200,100,100,0.4,0.0,0,2,0,9998,0.0
136,136,5,22,200,100,100,0.4,0.4,0,22,4,9974,0.0004008819402685909
137,137,5,23,200,100,100,0.4,0.2,0,1,1,9998,0.00010001000100010001
138,138,5,24,200,100,100,0.4,0.6000000000000001,0,15,20,9965,0.00200300450676014
139,139,5,11,200,100,100,0.6000000000000001,0.6000000000000001,8880,1,343,776,0.3065236818588025
140,140,5,24,200,100,100,0.4,0.8,0,1,2,9997,0.00020002000200020003
141,141,5,2,200,100,100,0.8,0.6000000000000001,9723,3,176,98,0.6423357664233577
142,142,5,20,200,100,100,0.6000000000000001,0.0,0,1,0,9999,0.0
143,143,5,2,200,100,100,0.8,0.8,9713,10,191,86,0.6895306859205776
144,144,5,10,200,100,100,0.8,0.4,9314,5,301,380,0.4419970631424376
145,145,5,24,200,100,100,0.6000000000000001,0.8,8687,2,374,937,0.28527841342486654
146,146,5,21,200,100,100,0.8,0.0,0,9,0,9991,0.0
147,147,5,26,200,100,100,0.6000000000000001,0.2,0,3,49,9948,0.00490147044113234
148,148,5,44,200,100,100,0.6000000000000001,0.4,149,1,483,9367,0.04903553299492386
149,149,6,20,200,100,100,0.0,0.0,0,2,0,9998,0.0
150,150,6,20,200,100,100,0.0,0.4,0,2,0,9998,0.0
151,151,6,22,200,100,100,0.0,0.2,0,2,0,9998,0.0
152,152,5,41,200,100,100,0.8,0.2,118,1,442,9439,0.044732314543062444
153,153,6,22,200,100,100,0.0,0.6000000000000001,0,1,0,9999,0.0
154,154,6,21,200,100,100,0.0,0.8,0,6,0,9994,0.0
